> EU\AF
-72.277 -55.962
-71.548 -56.255
-70.401 -56.622
-69.256 -56.852
-68.097 -57.072
-67.102 -57.502
-65.867 -57.736
-64.617 -57.959
> SL/AN
-56.925 -60.565
-57.494 -60.855
-58.131 -60.961
-58.891 -61.082
-59.836 -61.177
-60.650 -61.363
-61.332 -61.543
-62.203 -61.841
-63.105 -62.110
-63.969 -62.422
> EU/AF
20.000 37.908
20.300 37.804
> OK/NA
164.066 55.209
163.340 55.817
162.592 56.420
162.960 56.836
163.336 57.250
163.721 57.664
164.115 58.076
164.518 58.487
164.930 58.897
166.258 59.376
167.623 59.842
169.027 60.293
169.865 61.017
170.743 61.736
> BU/IN
92.278 6.948
92.376 6.333
92.537 5.702
92.665 5.005
92.903 4.384
93.227 3.716
93.754 3.048
94.405 2.457
94.979 2.104
> BU/AU
94.979 2.104
95.542 1.882
96.089 1.487
96.202 1.345
> SU/AU
96.202 1.345
96.380 1.123
96.670 0.759
97.011 0.116
97.372 -0.547
97.770 -1.247
98.035 -1.634
98.301 -2.021
98.874 -2.665
99.370 -3.312
99.675 -3.729
99.980 -4.145
100.359 -4.656
100.791 -5.305
101.346 -5.983
101.858 -6.558
102.452 -7.197
103.183 -7.621
103.763 -7.863
104.576 -8.167
> NA/RI
-106.890 21.799
-106.862 21.716
-106.808 21.640
-106.757 21.483
-106.624 21.311
-106.551 21.236
-106.525 21.184
-106.442 21.121
-106.381 20.840
-106.387 20.638
-106.385 20.428
-106.352 20.203
-106.271 19.916
-106.121 19.644
-105.949 19.402
-105.739 19.164
-105.546 18.981
-105.247 18.762
> PS/SU
120.452 21.632
120.344 21.202
120.290 20.631
120.502 20.255
120.441 19.937
120.115 19.487
119.795 18.878
119.279 18.201
119.161 17.629
119.248 16.840
119.255 16.556
> PS\SU
124.891 14.704
125.150 14.132
125.494 13.306
125.686 12.818
126.137 12.265
126.240 11.630
126.214 11.060
126.573 10.296
126.824 9.449
127.053 8.750
127.219 8.136
127.234 7.292
127.250 6.447
127.459 5.897
127.498 5.474
127.836 5.224
128.151 4.763
128.387 4.335
128.684 3.700
128.998 3.114
129.217 2.671
129.246 1.928
129.197 1.059
> BH/SU
126.872 2.346
126.426 1.706
> MS\SU
126.426 1.706
126.144 1.001
125.969 0.190
> MS/SU
123.430 2.006
123.219 2.024
122.480 2.377
121.669 2.309
120.824 2.311
120.189 2.208
119.696 2.033
119.306 1.577
119.249 0.714
> MS\BH
125.969 -0.278
125.969 0.190
126.144 1.001
126.426 1.706
> BS/SU
119.475 -0.081
119.296 -0.680
119.045 -1.491
118.884 -1.950
118.723 -2.408
118.578 -3.255
118.823 -3.610
> BH\BS
128.383 -2.286
129.258 -2.416
130.107 -2.519
130.585 -2.694
131.063 -2.868
131.489 -3.149
131.915 -3.429
132.316 -3.935
132.717 -4.440
> BH/CL
138.793 -1.159
138.674 -0.820
138.054 -0.718
137.435 -0.616
136.943 -0.422
136.451 -0.228
135.656 -0.023
134.938 0.421
134.471 0.259
133.899 0.057
133.327 -0.146
132.824 -0.043
132.515 0.017
> BH/PS
132.515 0.017
132.373 0.034
131.738 0.150
131.102 0.266
130.546 0.475
129.989 0.684
129.197 1.059
> IN\BU
92.278 6.948
91.903 7.663
91.781 8.160
91.651 8.656
91.596 9.130
91.533 9.604
91.559 10.056
91.576 10.514
91.591 11.300
91.643 11.792
91.700 12.283
91.889 13.154
92.068 13.715
> MS/SU
125.969 0.190
125.616 -0.128
125.263 -0.446
> PA/AU
