network station location channel phase dist_min_res dist_max_res n_data mean std_dev coeff0 coeff1 coeff2 coeff3 year month day
GE FLT1 -- BHZ P 2.21 98.09 478 0.0714790794979 0.965797724058 -0.51724661634 -0.00829650044004 0.000593419103817 -4.44807010428e-06 2016 6 3
GE GENI -- BHZ P 0.1 81.84 393 0.760534351145 1.63411166795 -0.10480744046 0.192327024954 -0.00660092052008 5.31642601616e-05 2016 6 3
GE GSI -- BHZ P 0.34 98.26 1152 -0.271934027778 1.2337264407 -0.273280696774 -0.0436242967121 0.00101845802224 -4.34380717571e-06 2016 6 3
GE HALK -- BHZ P 6.18 96.94 238 0.586932773109 1.29202589249 -1.40311376379 0.177974835118 -0.0041605735589 2.78608115335e-05 2016 6 3
GE HLG -- BHZ P 16.39 92.06 46 1.54543478261 1.5182222155 1.54543478261 0.0 0.0 0.0 2016 6 3
GE HMDM -- BHZ P 10.66 98.49 33 1.3203030303 1.27783382343 1.3203030303 0.0 0.0 0.0 2016 6 3
GE IBBN -- BHZ P 2.51 98.89 256 0.86116796875 1.09836842238 2.38766350071 -0.137180322742 0.00290807592226 -1.76505569861e-05 2016 6 3
GE ISP 00 BHZ P 0.74 98.25 217 0.536161290323 1.3006221719 0.484367853598 0.0968553878798 -0.00283946582351 1.87251998163e-05 2016 6 3
GE JAGI -- BHZ P 1.22 86.65 833 -0.405600240096 1.68763114799 -0.539123060862 0.113277667649 -0.0044918688017 3.91193793126e-05 2016 6 3
GE KAAM -- BHZ P 5.93 94.38 63 1.16634920635 1.54224626876 1.16634920635 0.0 0.0 0.0 2016 6 3
GE KARP -- BHZ P 0.29 98.94 439 0.29559453303 1.12690732667 -0.213363039515 0.0838188476625 -0.00188927738922 1.12198934444e-05 2016 6 3
GE KBS 00 BHZ P 1.87 95.49 271 0.70295202952 1.22285625632 -1.57782787702 0.112892824112 -0.00165388951379 7.59666270465e-06 2016 6 3
GE KMBO 00 BHZ P 8.89 93.79 279 1.30791756272 1.40244663026 0.397974581345 -0.0637534300621 0.00232001462898 -1.6252573828e-05 2016 6 3
GE LHMI -- BHZ P 0.81 95.12 272 0.575158088235 1.34308683149 -0.332132183813 0.0748927214356 -0.0013973365582 7.8245193719e-06 2016 6 3
GE LUWI -- BHZ P 0.56 90.85 814 0.188314496314 1.5608715646 0.407191933759 0.0171817655096 -0.000528036997085 -1.04552267747e-06 2016 6 3
GE LVC 00 BHZ P 0.22 94.61 567 -0.0550052910053 1.66863605405 0.10725585306 -0.0231192742616 0.000168703053194 2.93452023025e-06 2016 6 3
GE MALK -- BHZ P 7.34 94.09 288 0.597253472222 1.25945672223 0.28555970328 0.0138322865368 -0.000335400659595 3.11692385466e-06 2016 6 3
GE MATE -- BHZ P 0.28 96.47 424 -0.193603773585 0.981425420915 -0.479822055132 0.00489013485688 0.000113560610896 -8.31412054562e-07 2016 6 3
GE MMRI -- BHZ P 0.53 91.33 630 -0.187042857143 1.51664807483 0.911552890947 -0.0599426340886 0.000921934339978 -7.31591197495e-06 2016 6 3
GE MNAI -- BHZ P 0.54 83.0 246 -0.0613414634146 1.55916847451 -0.00422255567209 0.00770071686173 -0.000576905446044 6.12319843161e-06 2016 6 3
GE MORC -- BHZ P 1.72 99.39 937 0.399438633938 1.02652354497 0.23511194002 -0.0443174610235 0.00118429919187 -6.83065607753e-06 2016 6 3
GE MTE -- BHZ P 3.76 97.88 336 0.547860119048 1.14239633767 -0.675656022438 0.0417389911084 7.55771487296e-05 -4.65735283201e-06 2016 6 3
GE PMBI -- BHZ P 1.08 98.43 115 0.670869565217 1.20245185571 1.43922286156 -0.0864472384906 0.00242626386841 -1.94839512059e-05 2016 6 3
GE PMG 00 BHZ P 1.15 85.6 859 0.509019790454 1.49061940031 0.335587635527 0.103192929261 -0.00407902733423 3.27096774646e-05 2016 6 3
GE PSZ -- BHZ P 0.35 99.08 711 0.446559774965 1.12500744987 -0.840543627937 0.0618970001144 -0.000874560580011 4.56242196186e-06 2016 6 3
GE PUL -- BHZ P 14.08 99.59 33 0.865454545455 1.06146741268 0.865454545455 0.0 0.0 0.0 2016 6 3
GE RGN -- BHZ P 12.42 95.23 79 0.966936708861 1.34339634014 0.966936708861 0.0 0.0 0.0 2016 6 3
GE RUE -- BHZ P 1.78 95.12 124 0.6805 0.893690507714 -0.716296058123 0.059537027369 -0.000996392080512 6.46670200145e-06 2016 6 3
GE SANI -- BHZ P 0.75 90.16 1458 -1.0328696845 1.46666318278 -1.37384089297 0.0595520345619 -0.0013469466593 5.69396821042e-06 2016 6 3
GE SANT -- BHZ P 0.83 96.92 212 -0.202886792453 1.19912007882 0.0071999399231 0.0166313501458 -0.000684685308091 4.04644844735e-06 2016 6 3
GE SAUI -- BHZ P 0.89 89.55 313 1.21271884984 1.51294156222 2.1656935798 -0.120383506509 0.0031497443848 -2.64246238216e-05 2016 6 3
GE SBV -- BHZ P 0.84 96.63 97 0.732639175258 1.65156173051 0.732639175258 0.0 0.0 0.0 2016 6 3
GE SFJD 00 BHZ P 2.18 97.99 259 0.146111969112 1.06084905617 -0.200804925952 0.0508302814546 -0.00124455771239 8.10493108597e-06 2016 6 3
GE SLIT -- BHZ P 7.1 96.07 259 -0.438015444015 1.04950635856 -0.833404907555 -0.0496216436441 0.00186387878839 -1.42080497455e-05 2016 6 3
GE SMRI -- BHZ P 1.41 85.53 258 1.44451937984 1.4203176556 1.88949695449 -0.0108139773508 2.51370551736e-05 -1.77512610962e-06 2016 6 3
GE SNAA -- BHZ P 12.71 99.06 1166 0.325660377358 1.46180844477 -3.45354218805 0.0850830185659 7.01824587668e-05 -5.92730695878e-06 2016 6 3
GE SOCY -- BHZ P 1.69 99.36 634 -0.920867507886 1.44787760717 -3.77233842942 0.150475601573 -0.0020773070874 7.93063042735e-06 2016 6 3
GE SOEI -- BHZ P 0.61 92.81 1110 0.543314414414 1.82509381141 1.79313060794 -0.0860248385395 0.00164273563414 -1.12037950395e-05 2016 6 3
GE STU -- BHZ P 1.02 98.44 143 0.455356643357 1.12022539486 0.108494988209 -0.0364421924286 0.00143846036356 -1.07299170234e-05 2016 6 3
GE SUMG -- BHZ P 7.47 97.73 1212 0.4355 1.07771169672 1.95188307668 -0.0967879395377 0.00178282210837 -1.00055866118e-05 2016 6 3
GE TIRR -- BHZ P 1.6 99.14 467 0.187907922912 1.0376297096 0.180306372913 -0.0341764228191 0.000927854453009 -5.8076372398e-06 2016 6 3
GE TNTI -- BHZ P 0.19 83.86 697 0.150097560976 1.33273037697 0.00355730550471 0.0765852650783 -0.00239832902666 1.50020664175e-05 2016 6 3
GE VAL -- BHZ P 8.37 98.94 129 0.703496124031 1.16465793747 1.59943742239 -0.144552394843 0.0036757659163 -2.44035504708e-05 2016 6 3
GE VOI -- BHZ P 9.82 99.04 491 -0.192376782077 1.77526451452 0.579737532434 -0.0237685785718 -8.63440329605e-05 3.41453639492e-06 2016 6 3
GE VSU -- BHZ P 6.94 99.35 716 -0.262456703911 1.07634164102 -1.48494508911 0.0081642524699 0.000838888364933 -8.61184683533e-06 2016 6 3
GE WLF -- BHZ P 1.53 97.97 401 0.965511221945 1.11104272218 1.98558767717 -0.128562987739 0.00285126782233 -1.69340513398e-05 2016 6 3
GS KAN11 01 HHZ P 0.02 75.48 25 0.032 1.4737932917 0.032 0.0 0.0 0.0 2016 6 3
GS OK025 00 HHZ P 0.19 95.48 59 -0.257796610169 1.10277091096 -0.257796610169 0.0 0.0 0.0 2016 6 3
GT BOSA 00 BHZ P 2.02 99.36 776 -0.0328273195876 1.66057471313 0.619463488103 -0.0409112200979 -0.000187876627491 7.78519256392e-06 2016 6 3
GT CPUP 00 BHZ P 5.18 98.75 683 -0.887206442167 1.46651977854 -0.933655989469 0.0758798637371 -0.00309695758015 2.54777552625e-05 2016 6 3
GT DBIC 00 BHZ P 11.27 98.77 916 -0.332028384279 1.26510603943 -3.51549906647 0.123342746948 -0.00185896491849 1.08604137171e-05 2016 6 3
GT LBTB 00 BHZ P 2.07 98.93 769 0.0692119635891 1.55044171228 -0.828979877006 0.089285610443 -0.00281404119947 2.30452736602e-05 2016 6 3
GT LPAZ 00 BHZ P 1.06 99.19 848 0.117418632075 1.8147050246 2.54922187911 -0.155745938755 0.00152619759565 9.46850477655e-08 2016 6 3
GT PLCA 00 BHZ P 2.6 98.27 952 -0.157214285714 1.78824911175 0.158321224962 -0.00660414166885 -0.00143048139413 1.98845297286e-05 2016 6 3
GT VNDA 00 BHZ P 14.47 98.47 1525 0.739976393443 1.61675774694 -6.6018797476 0.430413079262 -0.00715433036751 3.56440687485e-05 2016 6 3
G AIS 00 BHZ P 0.74 82.36 39 1.27307692308 1.58955828662 1.27307692308 0.0 0.0 0.0 2016 6 3
G ATD 00 BHZ P 6.64 97.15 163 1.72324539877 1.44707793732 1.00073255838 -0.00763865284996 0.000997186657712 -9.14488518616e-06 2016 6 3
G CAN 00 BHZ P 8.27 94.21 929 0.457935414424 1.05364500956 0.00858236982089 0.0284357003664 -0.000326655022574 -7.25766532885e-07 2016 6 3
G CLF 00 BHZ P 2.99 99.47 370 0.807002702703 1.05868149961 1.85095109108 -0.122451768232 0.00251127307551 -1.36749178773e-05 2016 6 3
G COYC 00 BHZ P 4.22 94.62 290 0.709093103448 2.10093701824 2.72044249163 -0.107657464686 -0.00034561725283 1.88758733177e-05 2016 6 3
G CRZF 00 BHZ P 8.8 93.98 23 0.0747826086957 2.14912428162 0.0747826086957 0.0 0.0 0.0 2016 6 3
G DZM 00 BHZ P 1.55 93.39 1310 0.385095419847 1.31293802791 -1.57007093087 0.153315107114 -0.00262675189288 1.21439355257e-05 2016 6 3
