event_id n event dist az channel stream loc time unc pol toang phase residual tot_wt dist_wt st_q_wt T50 Aref T50Ex Tdom s/n_HF s/n_BRB mB Mwp T0 Mwpd status
1053543075143 340 3 83.42 316.5 US_DUG_--_BHZ HF L 2003.05.21-19:03:41.64 0.125 -1 17.0 P 0.26 0.619 0.619 1.000 0.000 30.820 0.000 -1.000 3.961 1.165 5.926 -9.000 12.500 -9.000 s/n_BRB_low
1053543731406 339 2 5.86 274.1 GE_SELV_--_BHZ HF L 2003.05.21-19:03:38.86 0.100 1 46.6 P 1.42 1.000 1.000 1.000 144.266 154.661 0.933 -1.000 8.165 1.808 5.568 -9.000 132.000 -9.000 s/n_BRB_low
1053543075143 338 3 82.39 324.4 US_HAWA_--_BHZ HF L 2003.05.21-19:03:36.41 0.125 -1 17.3 P 0.54 0.626 0.626 1.000 0.000 40.489 0.000 -1.000 3.111 0.845 5.992 -9.000 11.300 -9.000 s/n_BRB_low
1053543075143 336 3 81.28 45.7 IC_BJT_00_BHZ HF L 2003.05.21-19:03:29.94 0.150 -1 17.6 P -0.04 0.634 0.634 1.000 0.000 73.323 0.000 -1.000 4.429 1.022 6.206 -9.000 11.600 -9.000 s/n_BRB_low
1053543075143 335 3 80.72 317.5 US_AHID_--_BHZ HF L 2003.05.21-19:03:27.87 0.300 -1 17.7 P 0.58 0.638 0.638 1.000 17.549 66.226 0.265 -1.000 3.134 0.858 6.066 -9.000 -1.000 -9.000 s/n_BRB_low
1053543075143 333 3 80.29 328.4 CN_LLLB_--_BHZ HF L 2003.05.21-19:03:24.88 0.175 -1 17.8 P 0.12 0.641 0.641 1.000 0.000 227.840 0.000 -1.000 3.197 0.901 -9.000 -9.000 11.175 -9.000 s/n_BRB_low
1053543731406 331 2 5.15 59.8 MN_VSL_--_BHZ BRB L 2003.05.21-19:03:24.51 0.250 0 46.6 P -3.16 1.000 1.000 1.000 612.348 2330.245 0.263 -1.000 16.990 0.719 6.080 -9.000 13.150 -9.000 s/n_BRB_low
-1 330 -1 -1 -1 PN_PPPHS_--_BHZ BRB - 2003.05.21-19:03:22.90 0.900 0 -1.0 -1 -1 -1 -1 1.000 289.770 321.960 0.900 29.614 0.801 11.990 -9.000 -9.000 -1.000 -9.000 s/n_HF_low
1053543075143 329 3 79.91 324.5 US_NEW_--_BHZ HF L 2003.05.21-19:03:22.81 0.175 -1 17.9 P 0.08 0.644 0.644 1.000 0.000 49.135 0.000 -1.000 8.621 1.275 5.992 -9.000 11.275 -9.000 s/n_BRB_low
1053543075143 328 3 79.57 312.5 US_ISCO_--_BHZ HF L 2003.05.21-19:03:21.90 0.175 -1 18.0 P 0.65 0.646 0.646 1.000 0.000 46.431 0.000 -1.000 11.508 1.196 6.078 -9.000 11.325 -9.000 s/n_BRB_low
1053543075143 327 3 79.04 319.9 US_BOZ_--_BHZ HF L 2003.05.21-19:03:19.04 0.225 -1 18.1 P 0.89 0.650 0.650 1.000 0.000 57.674 0.000 -1.000 11.337 1.092 6.113 -9.000 11.100 -9.000 s/n_BRB_low
1053543075143 326 3 78.47 235.0 US_WMOK_--_BHZ HF L 2003.05.21-19:03:14.53 0.225 -1 18.3 P -0.29 0.654 0.654 1.000 0.000 47.672 0.000 -1.000 8.581 1.120 6.171 -9.000 11.150 -9.000 s/n_BRB_low
-1 325 -1 -1 -1 US_SSPA_--_BHZ BRB - 2003.05.21-19:03:11.63 0.950 1 -1.0 -1 -1 -1 -1 1.000 18.200 8.690 2.094 55.996 0.510 3.153 -9.000 -9.000 -1.000 -9.000 s/n_HF_low
1053543075143 322 3 77.04 347.9 AK_MCK_--_BHZ HF L 2003.05.21-19:03:07.38 0.160 -1 18.6 P 0.49 0.664 0.664 1.000 9.608 22.429 0.428 -1.000 3.176 0.812 6.028 -9.000 11.800 -9.000 s/n_BRB_low
